央视频道,#genre#
浙江卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014260&livemode=1&stbId=A
广东卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=A
广东珠江,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=A
南方卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000011619&livemode=1&stbId=A
广西卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000019837&livemode=1&stbId=A
上海东方,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000030202&livemode=1&stbId=A
东南卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000009263&livemode=1&stbId=A
北京卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=A
天津卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000003475&livemode=1&stbId=A
北京纪实,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001910&livemode=1&stbId=A
黑龙江卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009082&livemode=1&stbId=A
辽宁卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001945&livemode=1&stbId=A
山东卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000001000016568&livemode=1&stbId=A
重庆卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=A
河北卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017118&livemode=1&stbId=A
吉林卫视,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=ystenlive&Contentid=1000000002000027730&livemode=1&stbId=A
